transcript_id,domain,intent,reason_for_call,conversation_text,num_turns,time_of_interaction
1062-5756-5608-4826,Banking & Finance,Escalation - Repeated Service Failures,Customer Harold Hill escalated to supervisor after experiencing multiple failed account statements and poor service recovery attempts over three weeks.,"Agent: Thank you for calling TrustFinancial. This is Amanda. How can I help you? | Customer: I've been trying to resolve an issue for three weeks now and I'm not getting any real assistance. My account statements keep failing. | Agent: I understand your frustration with this. Let me pull up your account and see what's happening. | Customer: I've already explained this to multiple different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 1856-5172-1254. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your transaction records now. I can see you've attempted several account statements in the past three weeks, and all have failed with error code 7721. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 7721 typically indicates a download feature failure. Have you recently made any changes to your statement generation? | Customer: No, nothing has changed. I've been using this same statement generation without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your statement generation for verification after a system update last month. That's why the account statements are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your statement generation right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your statement generation verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-10-22 17:43:00
1505-1300-2705-4952,Healthcare Services,Escalation - Repeated Service Failures,Customer Benjamin Castillo escalated to supervisor after experiencing multiple failed online transfers and poor service recovery attempts over a month.,"Agent: Thank you for calling MediPlus. This is Jason. How can I help you? | Customer: I've been trying to resolve an issue for a month now and I'm not getting any real assistance. My online transfers keep failing. | Agent: I understand your frustration with this. Let me pull up your account and see what's happening. | Customer: I've already explained this to six different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 5892-5514-1681. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your transfer history now. I can see you've attempted several online transfers in the past a month, and all have failed with error code 2205. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 2205 typically indicates a routing number verification failure. Have you recently made any changes to your external account? | Customer: No, nothing has changed. I've been using this same external account without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your external account for verification after a security update last month. That's why the online transfers are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your external account right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your external account verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-08-29 11:27:00
7938-3799-4511-4255,Telecommunications,Escalation - Repeated Service Failures,Customer Donna Hughes escalated to supervisor after experiencing multiple failed direct deposits and poor service recovery attempts over several weeks.,"Agent: Thank you for calling DataLink. This is Michelle. How can I help you? | Customer: I've been trying to resolve an issue for several weeks now and no one can tell me what's wrong. My direct deposits keep failing. | Agent: I'm really sorry you've been dealing with this. Let me pull up your account and see what's happening. | Customer: I've already explained this to three different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 4835-1209-2115. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your employer details now. I can see you've attempted several direct deposits in the past several weeks, and all have failed with error code 2205. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 2205 typically indicates a routing setup failure. Have you recently made any changes to your deposit schedule? | Customer: No, nothing has changed. I've been using this same deposit schedule without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your deposit schedule for verification after a payroll integration last month. That's why the direct deposits are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your deposit schedule right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your deposit schedule verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-12-25 13:24:00
5763-4390-8606-2812,Telecommunications,Escalation - Repeated Service Failures,Customer William Robinson escalated to supervisor after experiencing multiple failed online transfers and poor service recovery attempts over a month.,"Agent: Thank you for calling TelecomPlus. This is Christine. How can I help you? | Customer: I've been trying to resolve an issue for a month now and nobody seems to be able to help me. My online transfers keep failing. | Agent: I can see how frustrating this must be. Let me pull up your account and see what's happening. | Customer: I've already explained this to six different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 5242-3358-9060. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your transfer history now. I can see you've attempted several online transfers in the past a month, and all have failed with error code 9104. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 9104 typically indicates a routing number verification failure. Have you recently made any changes to your external account? | Customer: No, nothing has changed. I've been using this same external account without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your external account for verification after a security update last month. That's why the online transfers are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your external account right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your external account verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-09-21 15:09:00
7354-3143-1823-5749,Healthcare Services,Escalation - Repeated Service Failures,Customer Brandon Mendoza escalated to supervisor after experiencing multiple failed account statements and poor service recovery attempts over over two weeks.,"Agent: Thank you for calling MediPlus. This is Kimberly. How can I help you? | Customer: I've been trying to resolve an issue for over two weeks now and I'm not getting any real assistance. My account statements keep failing. | Agent: I apologize for the difficulties you've experienced. Let me pull up your account and see what's happening. | Customer: I've already explained this to three different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 7467-2896-1801. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your transaction records now. I can see you've attempted several account statements in the past over two weeks, and all have failed with error code 5502. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 5502 typically indicates a download feature failure. Have you recently made any changes to your statement generation? | Customer: No, nothing has changed. I've been using this same statement generation without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your statement generation for verification after a system update last month. That's why the account statements are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your statement generation right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your statement generation verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-03-16 13:54:00
4069-5699-2350-2526,Healthcare Services,Escalation - Repeated Service Failures,Customer Kyle Williams escalated to supervisor after experiencing multiple failed wire transfers and poor service recovery attempts over a month.,"Agent: Thank you for calling CarePoint. This is Brian. How can I help you? | Customer: I've been trying to resolve an issue for a month now and I keep getting transferred around. My wire transfers keep failing. | Agent: I can see how frustrating this must be. Let me pull up your account and see what's happening. | Customer: I've already explained this to six different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 1430-6745-3216. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your beneficiary details now. I can see you've attempted several wire transfers in the past a month, and all have failed with error code 9104. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 9104 typically indicates a transfer limits failure. Have you recently made any changes to your verification process? | Customer: No, nothing has changed. I've been using this same verification process without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your verification process for verification after a security check last month. That's why the wire transfers are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your verification process right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your verification process verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-07-30 11:19:00
7526-5034-5795-9470,Telecommunications,Escalation - Repeated Service Failures,Customer Daniel Castillo escalated to supervisor after experiencing multiple failed bill payments and poor service recovery attempts over two weeks.,"Agent: Thank you for calling TelecomPlus. This is Angela. How can I help you? | Customer: I've been trying to resolve an issue for two weeks now and everyone gives me a different answer. My bill payments keep failing. | Agent: I apologize for the difficulties you've experienced. Let me pull up your account and see what's happening. | Customer: I've already explained this to three different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 6256-3545-8781. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your payment history now. I can see you've attempted several bill payments in the past two weeks, and all have failed with error code 5502. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 5502 typically indicates a auto-pay setup failure. Have you recently made any changes to your payment methods? | Customer: No, nothing has changed. I've been using this same payment methods without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your payment methods for verification after a billing cycle last month. That's why the bill payments are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your payment methods right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your payment methods verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-11-11 10:18:00
2679-6397-1633-2644,Healthcare Services,Escalation - Repeated Service Failures,Customer Robert Mitchell escalated to supervisor after experiencing multiple failed bill payments and poor service recovery attempts over over two weeks.,"Agent: Thank you for calling PrimaryCare. This is Kimberly. How can I help you? | Customer: I've been trying to resolve an issue for over two weeks now and no one can tell me what's wrong. My bill payments keep failing. | Agent: I understand your frustration with this. Let me pull up your account and see what's happening. | Customer: I've already explained this to five different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 1491-8165-9332. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your payment history now. I can see you've attempted several bill payments in the past over two weeks, and all have failed with error code 7721. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 7721 typically indicates a auto-pay setup failure. Have you recently made any changes to your payment methods? | Customer: No, nothing has changed. I've been using this same payment methods without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your payment methods for verification after a billing cycle last month. That's why the bill payments are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your payment methods right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your payment methods verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-01-28 17:05:00
4487-2837-1941-1459,Insurance,Escalation - Repeated Service Failures,Customer Michelle Campbell escalated to supervisor after experiencing multiple failed account statements and poor service recovery attempts over a month.,"Agent: Thank you for calling ShieldCorp. This is Scott. How can I help you? | Customer: I've been trying to resolve an issue for a month now and no one can tell me what's wrong. My account statements keep failing. | Agent: I understand your frustration with this. Let me pull up your account and see what's happening. | Customer: I've already explained this to four different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 5554-1848-1084. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your transaction records now. I can see you've attempted several account statements in the past a month, and all have failed with error code 2205. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 2205 typically indicates a download feature failure. Have you recently made any changes to your statement generation? | Customer: No, nothing has changed. I've been using this same statement generation without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your statement generation for verification after a system update last month. That's why the account statements are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your statement generation right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your statement generation verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-04-30 15:45:00
4985-2572-2097-1045,Telecommunications,Escalation - Repeated Service Failures,Customer Jerry Barnes escalated to supervisor after experiencing multiple failed wire transfers and poor service recovery attempts over over two weeks.,"Agent: Thank you for calling DataLink. This is Mia. How can I help you? | Customer: I've been trying to resolve an issue for over two weeks now and nobody seems to be able to help me. My wire transfers keep failing. | Agent: I'm really sorry you've been dealing with this. Let me pull up your account and see what's happening. | Customer: I've already explained this to five different people. Each time I'm told it's fixed, but it's not. | Agent: I understand your frustration. Can you provide your account number so I can review the history? | Customer: It's 5878-3973-6150. But honestly, I don't think you can help me. I need to speak with a supervisor. | Agent: I completely understand. Before I transfer you, let me quickly review your account to brief them on the situation. That way you won't have to explain everything again. | Customer: Fine, but make it quick. I've wasted enough time on this. | Agent: I'm looking at your beneficiary details now. I can see you've attempted several wire transfers in the past over two weeks, and all have failed with error code 7721. | Customer: Yes! And nobody can tell me what that error means or how to fix it. | Agent: Error 7721 typically indicates a transfer limits failure. Have you recently made any changes to your verification process? | Customer: No, nothing has changed. I've been using this same verification process without problems for a long time. | Agent: That's very strange. Let me check something I'm seeing that our system flagged your verification process for verification after a security check last month. That's why the wire transfers are failing. | Customer: Why wasn't I notified about this? And why didn't the other agents see this? | Agent: I sincerely apologize. This should have been communicated to you. I can verify your verification process right now, which will resolve the issue. | Customer: I still want to speak with a supervisor. This has been incredibly frustrating and I want to file a formal complaint. | Agent: Absolutely, you have every right to speak with a supervisor. Let me get your verification process verified first so we can prevent any further issues, and then I'll transfer you directly to my supervisor.",17,2025-10-12 17:12:00
